CMDLINE /Users/localadmin/miniforge3/envs/splitting_env/bin/python3.9 ./setup_labeled_data.py
MEM 0.484375 1725351817.5716
MEM 32.953125 1725351817.6736
MEM 52.875000 1725351817.7787
MEM 67.359375 1725351817.8837
MEM 78.515625 1725351817.9881
MEM 90.890625 1725351818.0932
MEM 108.203125 1725351818.1961
MEM 120.687500 1725351818.3013
MEM 133.234375 1725351818.4042
MEM 146.578125 1725351818.5093
MEM 158.921875 1725351818.6144
MEM 170.156250 1725351818.7175
MEM 177.593750 1725351818.8222
MEM 185.296875 1725351818.9272
MEM 191.671875 1725351819.0281
MEM 202.890625 1725351819.1332
MEM 214.484375 1725351819.2362
MEM 211.984375 1725351819.3402
MEM 209.875000 1725351819.4453
MEM 209.718750 1725351819.5503
MEM 216.734375 1725351819.6554
MEM 220.062500 1725351819.7603
MEM 230.296875 1725351819.8632
MEM 230.296875 1725351819.9683
MEM 229.859375 1725351820.0736
MEM 230.250000 1725351820.1788
MEM 230.625000 1725351820.2843
MEM 230.734375 1725351820.3898
MEM 233.015625 1725351820.4907
MEM 236.531250 1725351820.5958
MEM 235.703125 1725351820.7010
MEM 235.218750 1725351820.8043
MEM 235.218750 1725351820.9090
MEM 235.484375 1725351821.0119
MEM 235.812500 1725351821.1151
MEM 236.203125 1725351821.2201
MEM 236.718750 1725351821.3252
MEM 237.312500 1725351821.4302
MEM 237.812500 1725351821.5348
MEM 237.453125 1725351821.6361
MEM 237.953125 1725351821.7374
MEM 238.500000 1725351821.8425
MEM 239.046875 1725351821.9475
MEM 239.578125 1725351822.0525
MEM 240.078125 1725351822.1544
MEM 240.609375 1725351822.2548
MEM 241.140625 1725351822.3598
MEM 241.671875 1725351822.4649
MEM 289.437500 1725351822.5699
MEM 306.906250 1725351822.6708
MEM 306.921875 1725351822.7759
MEM 306.921875 1725351822.8817
MEM 307.109375 1725351822.9853
MEM 307.125000 1725351823.0904
MEM 307.343750 1725351823.1935
MEM 307.625000 1725351823.2985
MEM 307.921875 1725351823.4008
MEM 308.203125 1725351823.5058
MEM 308.671875 1725351823.6108
MEM 309.140625 1725351823.7158
MEM 309.625000 1725351823.8174
MEM 310.125000 1725351823.9186
MEM 310.609375 1725351824.0202
MEM 311.109375 1725351824.1252
MEM 311.546875 1725351824.2302
MEM 312.062500 1725351824.3341
MEM 312.578125 1725351824.4361
MEM 313.078125 1725351824.5411
MEM 313.578125 1725351824.6462
MEM 316.921875 1725351824.7512
MEM 326.390625 1725351824.8563
MEM 337.328125 1725351824.9616
MEM 337.328125 1725351825.0657
MEM 337.390625 1725351825.1708
MEM 337.406250 1725351825.2735
MEM 337.406250 1725351825.3785
MEM 337.406250 1725351825.4836
MEM 337.656250 1725351825.5881
MEM 337.968750 1725351825.6932
MEM 338.328125 1725351825.7961
MEM 338.640625 1725351825.9008
MEM 338.937500 1725351826.0041
MEM 339.234375 1725351826.1055
MEM 339.546875 1725351826.2105
MEM 339.843750 1725351826.3156
MEM 340.156250 1725351826.4201
MEM 340.640625 1725351826.5252
MEM 341.093750 1725351826.6302
MEM 341.453125 1725351826.7348
MEM 343.046875 1725351826.8399
MEM 343.765625 1725351826.9430
MEM 343.765625 1725351827.0482
MEM 343.843750 1725351827.1533
MEM 343.859375 1725351827.2575
MEM 343.953125 1725351827.3626
MEM 343.953125 1725351827.4676
MEM 344.000000 1725351827.5726
MEM 344.296875 1725351827.6741
MEM 344.609375 1725351827.7791
MEM 339.234375 1725351827.8830
MEM 339.546875 1725351827.9881
MEM 339.843750 1725351828.0892
MEM 340.140625 1725351828.1909
MEM 340.609375 1725351828.2959
MEM 340.953125 1725351828.4009
MEM 341.265625 1725351828.5060
MEM 341.562500 1725351828.6068
MEM 345.500000 1725351828.7119
MEM 348.859375 1725351828.8171
MEM 348.875000 1725351828.9215
MEM 348.843750 1725351829.0267
MEM 348.843750 1725351829.1317
MEM 348.843750 1725351829.2362
MEM 349.046875 1725351829.3412
MEM 349.218750 1725351829.4462
MEM 349.515625 1725351829.5513
MEM 349.812500 1725351829.6522
MEM 350.125000 1725351829.7572
MEM 350.421875 1725351829.8602
MEM 350.796875 1725351829.9642
MEM 351.312500 1725351830.0681
MEM 351.812500 1725351830.1732
MEM 355.953125 1725351830.2761
MEM 357.515625 1725351830.3813
MEM 357.515625 1725351830.4864
MEM 357.515625 1725351830.5869
MEM 357.531250 1725351830.6909
MEM 357.531250 1725351830.7962
MEM 351.765625 1725351830.9013
MEM 351.906250 1725351831.0016
MEM 352.093750 1725351831.1022
MEM 352.406250 1725351831.2072
MEM 352.906250 1725351831.3108
MEM 347.875000 1725351831.4159
MEM 348.187500 1725351831.5189
MEM 347.046875 1725351831.6190
MEM 347.343750 1725351831.7215
MEM 347.671875 1725351831.8229
MEM 330.234375 1725351831.9280
MEM 330.562500 1725351832.0309
MEM 330.890625 1725351832.1343
MEM 341.500000 1725351832.2389
MEM 327.281250 1725351832.3441
MEM 309.390625 1725351832.4495
MEM 309.390625 1725351832.5546
MEM 301.906250 1725351832.6549
MEM 301.953125 1725351832.7599
MEM 297.750000 1725351832.8651
MEM 296.718750 1725351832.9695
MEM 297.015625 1725351833.0709
MEM 295.328125 1725351833.1722
MEM 295.625000 1725351833.2773
MEM 295.921875 1725351833.3824
MEM 294.218750 1725351833.4938
MEM 281.531250 1725351833.5989
MEM 278.203125 1725351833.7041
MEM 274.546875 1725351833.8069
MEM 274.953125 1725351833.9120
MEM 275.328125 1725351834.0172
MEM 293.875000 1725351834.1176
MEM 305.046875 1725351834.2191
MEM 305.046875 1725351834.3223
MEM 301.156250 1725351834.4275
MEM 301.156250 1725351834.5327
MEM 286.062500 1725351834.6358
MEM 286.109375 1725351834.7410
MEM 291.765625 1725351834.8461
MEM 291.843750 1725351834.9509
MEM 285.500000 1725351835.0559
MEM 283.484375 1725351835.1610
MEM 283.906250 1725351835.2661
MEM 284.234375 1725351835.3696
MEM 284.531250 1725351835.4732
MEM 284.828125 1725351835.5783
MEM 285.125000 1725351835.6835
MEM 285.421875 1725351835.7886
MEM 285.671875 1725351835.8938
MEM 285.968750 1725351835.9989
MEM 286.578125 1725351836.1040
MEM 289.812500 1725351836.2062
MEM 290.500000 1725351836.3083
MEM 290.500000 1725351836.4096
MEM 290.500000 1725351836.5151
MEM 283.859375 1725351836.6190
MEM 283.859375 1725351836.7242
MEM 283.968750 1725351836.8293
MEM 283.968750 1725351836.9343
MEM 282.625000 1725351837.0349
MEM 282.953125 1725351837.1382
MEM 283.250000 1725351837.2419
MEM 279.968750 1725351837.3454
MEM 276.093750 1725351837.4505
MEM 276.390625 1725351837.5555
MEM 284.359375 1725351837.6576
MEM 288.984375 1725351837.7628
MEM 288.984375 1725351837.8678
MEM 289.031250 1725351837.9699
MEM 289.156250 1725351838.0747
MEM 289.171875 1725351838.1749
MEM 289.234375 1725351838.2800
